state,state_full,pop,od,od.ratio,specialty,credentials,opioid,controlled,not.opioid,OXYCONTIN,OXYCODONE.HCL,OXYCODONE.ACETAMINOPHEN,PHENOBARBITAL,ACETAMINOPHEN.CODEINE,MORPHINE.SULFATE,TRAMADOL.HCL,HYDROMORPHONE.HCL,HYDROCODONE.ACETAMINOPHEN,CLONAZEPAM,METHADONE.HCL,FENTANYL,MORPHINE.SULFATE.ER,DIAZEPAM,od.group,od.group2
AK,Alaska,735132,124,0.016867718994683947,14,11,1499,417,14094,31,217,87,22,11,11,118,84,430,131,69,41,157,90,high,1
AL,Alabama,4833722,723,0.014957417906946241,42,39,72163,30984,808083,716,1641,4001,622,920,488,15264,222,34560,8199,709,1738,1100,1983,low,0
AR,Arkansas,2959373,356,0.012029575183662215,40,35,38164,14237,380792,364,2065,2475,141,580,193,5433,235,16788,5016,573,941,1174,2186,low,0
AZ,Arizona,6626624,1211,0.018274765551810394,59,65,57947,17897,493060,1678,8526,8770,74,1102,958,7284,728,16095,3318,1032,1436,5101,1845,high,1
CA,California,38332521,4521,0.011794162977175438,79,149,223722,105421,2796825,3351,6748,11723,1465,9133,1471,30379,2996,110347,19223,4012,5677,8313,8884,low,0
CO,Colorado,5268367,899,0.017064111137284097,46,48,26954,7009,234236,1010,3494,3825,81,478,254,3974,458,8054,1614,357,874,1550,931,high,1
CT,Connecticut,3596080,623,0.017324419923917155,47,46,19525,11793,293750,647,2172,2429,119,523,159,2690,348,3124,5269,101,774,342,828,high,1
DE,Delaware,925749,189,0.020415901070376528,31,23,6133,2957,89287,130,923,997,69,345,47,1474,89,975,344,13,160,374,193,high,1
FL,Florida,19552860,2634,0.013471175060835089,70,99,183107,112920,2210398,3554,13500,24523,583,2917,3030,31312,2860,48622,21076,4167,6333,11353,9277,low,0
GA,Georgia,9992167,1206,0.0120694540033208,54,58,89200,39011,1129660,856,3182,8647,487,1211,345,16407,555,38168,10308,454,2882,2170,3528,low,0
HI,Hawaii,1404054,157,0.011181906109024297,25,19,3960,1869,101001,82,602,288,20,203,66,531,29,1298,387,12,78,156,208,low,0
IA,Iowa,3090416,264,0.008542539256850857,37,34,22200,9778,304604,248,793,1391,256,284,168,4775,222,9389,2096,205,1059,720,594,low,0
ID,Idaho,1612136,212,0.013150255313447502,29,28,13809,5386,103787,276,951,544,33,121,75,1943,78,6348,1456,348,827,579,230,low,0
IL,Illinois,12882135,1705,0.013235383731035269,57,83,79287,33960,1096843,760,1231,1987,748,3417,641,14144,480,39355,7606,503,4273,1658,2484,low,0
IN,Indiana,6570902,1172,0.017836211832104633,45,59,82377,26917,861190,1662,2704,7014,537,1188,659,11801,455,37064,7399,1398,3396,3408,3692,high,1
KS,Kansas,2893957,332,0.011472181514790994,39,32,26378,7712,242712,826,1744,2353,184,311,365,3449,540,9769,2456,675,1400,1414,892,low,0
KY,Kentucky,4395295,1077,0.024503474738328146,45,45,49803,15328,647918,414,1434,4275,361,877,224,5371,161,26004,5058,227,798,928,3671,high,1
LA,Louisiana,4625470,777,0.016798292930231953,49,45,69411,24636,608454,699,3301,8202,446,742,554,10177,156,31486,6030,445,1825,2820,2528,high,1
MA,Massachusetts,6692824,1289,0.01925943368598965,57,84,62433,36892,699428,2101,9054,7057,331,1382,571,7133,567,7341,17021,1328,1692,1767,5088,high,1
MD,Maryland,5928814,1070,0.018047454347530554,50,56,36472,11533,377996,1226,6480,4862,288,1098,248,7864,611,6034,2412,1015,1480,1590,1264,high,1
ME,Maine,1328302,216,0.01626136225045208,28,33,14404,4997,163041,479,2393,735,51,218,85,2205,88,4305,2006,187,486,409,757,high,1
